@RELATION PMF

@ATTRIBUTE PMF-VAF REAL
@ATTRIBUTE AML-VAF REAL
@ATTRIBUTE Relapse-PMF-VAF REAL
@ATTRIBUTE class {0,1,2,3,4}

@DATA
35.03,39.28,38.22,2
16.87,0.84,0,1
34.3,40.26,38.94,2
4.55,32,41.8,3
0.7,32.69,1.2,4
0.52,31.89,0.18,4
39.85,41.87,38.14,2
41.27,38.14,40.93,2
32.03,34.96,36.62,2
39.62,34.91,41.92,2
0,32.16,0.2,4
36.27,38.46,35.45,2
15.15,0,0,1
0.61,33.95,0.13,4
36.39,35.58,40.33,2
37.83,38.61,43.25,2
27.94,0.32,0,1
36.13,36.15,37.69,2
36.85,36.1,35.49,2
40.37,41.42,38.6,2
36.71,42.81,35.56,2
0.48,13.94,0,0
0.47,27.59,0.74,4
40.05,42.27,38.05,2
34.22,34.35,34.41,2
2.89,54.23,43.29,0
28.04,0.51,0,1
30.22,38.94,29.61,2
0,37.36,0,4
3.43,34.42,33.48,3
6.34,42.28,36.13,3
30.83,36.65,38.42,2
20.16,1.53,0.18,1
0.45,32.21,0.83,4
1.07,31.28,0.92,4
35.98,33.06,37,2
35.03,38.93,41.08,2
15.9,0,0,1
36.93,35.64,33.4,2
19.46,0.24,0,1
37.5,33.42,41.68,2
40.82,39.63,37.94,2
37.28,41.7,40.83,2
20.22,0.88,0,1
42.21,33.33,39.54,2
40.88,38.68,32.29,2
5.34,32.73,31.17,3
0,12.6,0,0
25.98,1.07,0.13,1
38.81,36.88,41.05,2
28.78,38.44,27.67,2
42.12,46.64,38.54,2
21.9,0,0,1
24.12,0,0.27,1
38.91,37.76,39.03,2
24.12,0.4,0,1
3.93,31.45,30.44,3
36.97,32.08,38.79,2
35.74,32.7,39.91,2
2.98,32.81,35.63,3
36.31,38.46,39.16,2
37.61,41.3,35.38,2
28.61,40.83,36.75,2
34.99,37.94,37.17,2
36.41,38.11,33.45,2
2.24,34.18,0.26,4
11.04,0,0,0
39.14,43.16,38.67,2
28.32,0,0,1
21.09,0.61,0,1
33.58,41.5,33.86,2
0,27.82,1.32,4
37.09,45.49,38.63,2
38.86,36.73,39.51,2
0.41,25.14,1.02,4
40.37,36.03,33.33,2
40.41,39.72,41.2,2
0.48,27.08,0.73,4
31.86,28.23,33.12,2
39.33,42.47,39.24,2
4.95,36.45,35.23,3
0.51,24.05,0.76,4
38.49,30.16,30.5,2
40.34,39.05,42.68,2
22.34,0.84,0,1
0.47,28.57,0.43,4
0.91,37.99,0.6,4
36.95,42.5,36.89,2
22.71,0,0,1
38.94,34.93,35.7,2
25.51,34.53,27.8,2
35.45,41.4,37.46,2
22.42,0.51,0,1
40.17,40.19,45.12,2
38.49,43.44,40.88,2
4.78,37.28,38.49,3
25.12,41.25,36.01,2
37.59,34.6,38.13,2
20.07,0.85,0,1
36.34,34.65,38.12,2
0.66,30.49,0.73,4
0.45,28.98,0.91,4
37.53,40.87,42.99,2
0.51,30.87,0.41,4
0.31,26.62,1.21,4
40.9,37.24,38.75,2
31.56,40,38.74,2
33.58,37.57,40.04,2
44.05,40.89,39.79,2
33.92,33.03,31.38,2
20.74,0,0,1
29.48,34.06,28.76,2
39.45,38.62,37.21,2
0.26,34.94,0.7,4
36.63,38.68,39.11,2
29.64,38.59,34.62,2
5.38,41.96,34.05,3
28.16,35.56,27.15,2
37.73,37.5,30.68,2
40.9,41.3,31.87,2
25.3,0.52,0,1
0.72,27.24,0.39,4
4.28,37.45,33.33,3
41.57,37.33,41.06,2
19.38,0,0,1
5.41,43.1,31,3
37.08,36,37.98,2
0.75,33.78,1.28,4
1.11,26.01,0.47,4
41.62,42.07,40.64,2
0.75,31.62,1.12,4
36.98,36.71,40.32,2
36.25,40.92,36.86,2
0.73,34.17,1.28,4
21.43,29.24,29.06,2
37.82,34.97,42.3,2
39.91,41.42,40.33,2
20.9,0.33,0,1
6.63,41.13,38.59,3
36.93,40.39,42.91,2
17.11,0.42,0,1
0.98,28.61,0.19,4
11.69,0.59,0,0
6.73,34.57,31.21,3
36.12,41.52,42.83,2
23.23,0.27,0.15,1
4.33,38.81,36.46,3
0.45,26.74,0.33,4
0.24,28.13,0.18,4
0.29,26.55,0,4
0.57,29.28,0.48,4
0.61,29.17,0.72,4
39.12,36.46,41.77,2
33.6,36.61,40.83,2
39.07,39.94,38.07,2
0,34.83,0,4
33.79,35.48,34.93,2
40.3,36.15,37.95,2
37.83,33.73,36.83,2
0.32,26.38,0.63,4
37.99,38.32,39.57,2
24.01,35.03,25.49,2
0.34,37.08,1.35,4
25.29,42.14,34.56,2
33.8,37.7,39.53,2
40,37.2,38.81,2
0.91,29.78,0,4
28.5,40.13,31.91,2
21.68,0.37,0,1
36.13,37.97,32.67,2
4.66,38.59,36.59,3
0,31.6,0.54,4
35.22,38.4,40.42,2
37.28,39.58,31.74,2
42.76,47.38,45.69,2
41.2,38.36,41.42,2
2.14,31.78,1.08,4
32.44,38.33,39.29,2
5.58,38.79,33.44,3
39.83,36.99,39.61,2
38.02,40,40.37,2
31.44,36.86,33.94,2
36.03,38.66,40.04,2
0.56,30.14,0,4
4.79,35.97,31.94,3
37.33,35.63,39.89,2
0.26,29.04,0.96,4
36.14,42.07,39.85,2
36.99,40.18,40.53,2
44.47,30.64,43.49,0
28.27,38.1,34.7,2
16.01,0.43,0,1
36.24,37.93,36.06,2
40,41.77,43.5,2
39.12,39.75,38.35,2
23.66,0.37,0,1
24.88,0,0.18,1
30.47,45.78,36.72,2
40.37,38.38,34.55,2
37.28,42.41,40.8,2
25.57,0.29,0.18,1
37.91,34.97,43.33,2
41.42,40.92,37.04,2
0.25,34.05,0,4
0.2,29.01,0.96,4
0.63,14.12,0,0
39.93,49.34,33.22,0
37.19,37.92,36.42,2
34.18,34.25,41.75,2
38.14,39.7,39.4,2
35.57,42.05,39.87,2
38.52,38.35,34.7,2
0.53,31.97,0.89,4
30.1,37.85,29.69,2
7.46,33.52,37.19,3
36.98,42.98,43.62,2
0,33.72,0.37,4
35.75,39.65,39.67,2
29.29,30.36,34.54,2
35.53,40,32.8,2
34.59,39.38,40,2
0.8,32.7,1.14,4
38.13,36.77,42.51,2
0.43,31.33,0,4
33.42,36.92,40.17,2
27.82,0.48,0,1
31.06,36.65,42.71,2
42.21,38.97,41.21,2
1.1,31.79,0.49,4
30.35,36.36,35.47,2
41.83,39.72,36.86,2
27.31,46.03,37.5,0
0.65,30.18,0.9,4
38.12,44.37,38.58,2
20.53,1.31,0,1
4.08,35.37,29.08,3
5.8,34.71,38.01,3
0,27.71,0,4
1.74,34.63,1,4
39.79,36.8,36.48,2
0.66,28.03,0,4
37.22,38.99,39.51,2
37.78,34.46,34.74,2
4.06,36.56,31.78,3
31.16,39.12,40.64,2
22.65,0.54,0.4,1
36.84,42.36,39.55,2
0.4,33.71,1.29,4
25.41,0,0,1
25.79,42.86,31.45,2
32.08,38.62,33.1,2
4.67,37.41,34.24,3
37.87,35.95,29.8,2
0.89,38.01,1.3,4
6.46,37.03,29.3,3
36.81,40.82,32.49,2
21.19,0,0,1
34.76,37.28,33.89,2
40.15,39.19,40.78,2
31.88,40.7,35.47,2
37.78,39.73,42.9,2
35.12,42.17,34.9,2
34.62,36.31,35.32,2
22.48,0,0,1
0.23,29.01,1.04,4
22.91,0,0.18,1
0.3,30.6,0,4
37.43,37.18,38.82,2
36.62,44.18,42.01,2
0,29.83,1,4
40.51,35.59,39.01,2
0,34.53,0.8,4
35.14,35.37,37.7,2
38.14,31.21,37.79,2
3.96,34.45,28.07,3
24.24,39.63,34.36,2
1.24,28.62,0.98,4
37.07,37.16,38.14,2
36.53,36.09,37.17,2
35.26,40.16,28.26,2
36.78,38.83,40.63,2
4.07,33.98,32.01,3
40.24,38.89,39.88,2
38.69,35.33,39.83,2
33.79,40.95,34.02,2
36.08,38.34,34.13,2
0.56,25.91,1.08,4
3.24,35.27,29.66,3
5.33,40.47,31.73,3
39.13,38.78,38.53,2
6.02,34.42,32.77,3
23.1,0.46,0.23,1
38.505,36.955,38.74,0
38.325,38.105,35.345,0
40.27,39.55,34.01,2
38.6,39.68,45.21,2
21.13,0.34,0.28,1
38.74,37.64,35.1,2
21.29,0.24,0,1
21.35,0.24,0.11,1
24.48,1,0,1
1.35,37.25,0,4
31.65,33.65,36.33,2
0.27,33.45,0.2,4
0.23,26.36,0.92,4
0.48,19.62,0,4
0.24,27.99,0.16,4
40.13,36.14,38.87,2
29.84,32.27,29.36,2
32.63,37.05,36.8,2
38.17,37.35,43.89,2
24.18,0.94,0.15,1
36.67,46.98,45.82,2
0.55,36.8,0.62,4
37.69,39.73,39.82,2
30.12,37.89,32.11,2
40,37.71,31.14,2
20.63,1.07,0,1
39.3,40.59,38.68,2
3.96,35.2,32.08,3
6.04,37.25,37.89,3
35.47,43.97,31.45,2
6.32,31.12,34.99,3
43.78,42.4,49.75,2
37.01,43.96,41.24,2
0.26,31.13,0.9,4
41.43,39.07,37.63,2
34.7,41.09,40.38,2
19.3,0,0,1
44.02,34.13,37.93,2
0.22,28.77,0.35,4
5.59,34.43,29.43,3
1.26,31.43,0.15,4
40.05,42.52,37.73,2
2.11,32.19,1.14,4
36.34,36.93,43.84,2
28.12,34.43,33.41,2
41.03,36.74,36.99,2
32.65,36.36,42.03,2
35.51,35.14,28.28,2
35.5,37.41,43.06,2
2.79,38.46,33.26,3
4.68,43.26,35.6,3
44.57,41.77,33.29,2
33.56,33.88,44.3,2
0.39,30.1,0.89,4
25.91,41.4,34.86,2
28.63,38.39,38.44,2
4.08,41.92,31.42,3
34.77,41.81,39.15,2
41.88,34.02,38.8,2
1.33,32.74,0,4
36.97,36.36,41.4,2
2.94,40.28,30.26,3
33.93,39.39,35.06,2
37.78,44.44,39.87,2
0.44,32.41,1.04,4
41.13,33.01,33.11,2
4.67,36.49,35.71,3
6.39,32.31,32.76,3
36.93,44.04,35.45,2
39.47,39.6,35.26,2
5.42,34.92,31.31,3
37.91,31.75,32.59,2
37.1,40.95,39.22,2
5.35,37.21,31.81,3
0,32.16,0,4
0.38,32.9,0.58,4
20.95,0.32,0,1
37.47,36.93,35.18,2
39.78,34.71,41.31,2
38.42,40,32.88,2
0.61,27.68,1.49,4
34.62,39.06,36.36,2
0.76,32.62,0.18,4
37.59,35.02,35.77,2
25,0,0.14,1
0.22,29.84,1.69,4
38.11,34.73,34.29,2
0,29.96,1.04,4
0.75,27.39,1.01,4
35.41,40.2,33.64,2
37.47,37.26,32.4,2
20.97,0,0,1
0,30.13,0,4
31.77,41.78,33.69,2
30.16,41.38,34.88,2
29.02,30.72,29.47,2
39.96,41.5,44.02,2
39.06,36.46,33.33,2
29.62,43.41,34.28,2
38.86,35.02,33.24,2
32.25,35.17,39.06,2
26.02,40.27,31.14,2
36.29,41.23,39.02,2
37.9,38.4,38.32,2
39.67,38.87,36.04,2
45.98,47.47,39.41,2
36.31,41.77,37.53,2
35.84,37.58,36.55,2
5.16,35.97,30.64,3
5.33,46.77,30.81,3
37.5,35.93,34.93,2
39.71,33.96,32.45,2
38.79,40.24,46.38,2
39.61,40.44,42.54,2
38.07,38.87,39.84,2
26.92,35.76,36.78,2
38.54,37.44,40.86,2
0.95,32.78,0.73,4
29.44,37.75,32.4,2
26.3,34.91,30.93,2
0.52,29.94,0.2,4
3.52,37.95,32.33,3
19.26,0.3,0.31,1
29.61,34.67,41.84,2
34.53,38.17,32.5,2
42.82,41.88,39.29,2
6.13,36.89,33.1,3
29.74,34.53,34.8,2
0,28.25,0,4
23.88,31.17,32.05,2
0.51,29.74,0,4
23.84,0.78,0.22,1
33.87,36.56,42.38,2
21.88,0.48,0.26,1
20.81,0.85,0.17,1
36.07,36.56,44.01,2
41.35,44.9,39.41,2
5.26,33.12,31.09,3
35.03,43.9,41.79,2
0.69,33.8,1.32,4
33,44.21,40.38,2
0.6,33.22,0.54,4
39.13,40.39,38.42,2
5.49,33.53,33.9,3
39.38,41.67,34.99,2
39.7,34.55,40.56,2
29.86,34.03,35.02,2
27.56,38.33,31.7,2
37.91,43.85,42.15,2
0,35.47,0,4
4.12,39.01,25.73,3
0,37.5,0,4
31.26,39.33,33.23,2
24.88,25.37,24.07,0
3.12,23.96,19.27,3
0.27,33.93,0.57,4
40.49,37.38,40.04,2
19.9,0,0,1
40.65,41.41,38.15,2
0.48,27.61,0.21,4
39.4,41.81,40.04,2
29.19,32.26,32.54,2
37.19,41.07,35.7,2
38.56,37.43,34.06,2
40.27,39.18,35.79,2
7.14,40,32.21,3
0.54,31.84,0.41,4
0,32.55,0.9,4
34.92,40.07,40.59,2
32.07,46.34,37.57,2
21.86,40.96,29.35,2
0,25.08,0,4
0,30.27,0.21,4
40.99,37.71,36.53,2
0.89,34.41,0.19,4
2.88,38.32,34.63,3
40,39.18,31.57,2
6.59,33.52,31.87,3
15.36,0.54,0,1
0.47,32.69,0.34,4
0.67,31.87,0,4
20.25,0,0,1
26.87,35.26,31.35,2
37.65,37.76,41.99,2
6.01,36.07,32.02,3
24.04,0.37,0.61,1
20.79,0,0,1
3.9,39.83,31.51,3
34.8,38.89,33.12,2
20.32,0.31,0,1
0.54,31.56,0,4
29.14,41.5,33.83,2
6.15,40.65,33.73,3
41,39.63,33.52,2
16.95,0,0,1
39.9,36.99,40.69,2
35.13,37,30.56,2
0.63,33.22,0.9,4
20.39,0.58,0,1
32.52,37.47,35.1,2
35.33,40.95,37.46,2
35.47,35.29,42.34,2
19.41,0,0,1
28.93,43.18,28.56,2
5.15,36.23,31.3,3
41.79,37.85,42.32,2
35.07,36.77,31.46,2
25.62,31.02,33.17,2
41.37,40.66,43.49,2
38.58,41.58,42.05,2
29.63,34.34,30.37,2
41.07,42.9,35,2
32.82,33.78,37.98,2
34.58,36.18,39.54,2
38.66,42.36,40.86,2
26.2,33.44,32.68,2
7.42,41.92,34.5,3
0.5,18.94,0,0
17.91,0.36,0,1
18.18,0.75,0,1
23.62,0.63,0,1
28.31,32.51,31.83,2
36.57,36.7,40.26,2
0.23,33.61,1.26,4
34.77,39.77,34.08,2
39.72,33.15,37.22,2
3.39,35.56,33.29,3
17.06,0,0.14,1
30.11,43.07,38.65,2
19.41,0,0.18,1
37.21,38.41,30,2
37.41,39.77,39.34,2
34.42,36.7,42.97,2
40.7,40.48,36.92,2
35.03,41.25,38.64,2
3.96,35.09,32.73,3
24.38,0.36,0,1
36.09,37.24,43.52,2
7.47,36.52,29.25,3
38.29,40.75,36.65,2
18.13,0,0,1
0.4,25.58,0.58,4
42.22,30.43,41.79,2
21.95,0.78,0,1
3.72,32.83,33.47,3
6.39,44.69,36.79,3
40.17,35.34,37.78,2
22.86,0.78,0,1
33.51,38.19,40.69,2
35.91,38.97,39.06,2
2.84,40.9,35.18,3
0.83,32.39,0.68,4
21.62,0,0,1
23.34,0,0.25,1
0.39,28.07,0.25,4
41.16,37.01,39.58,2
35.65,37.42,32.8,2
1,30.42,0.82,4
20.26,1.08,0.22,1
0.24,33.97,0.21,4
3.86,28.27,33.92,3
31.7,38.55,34.42,2
35.48,38.55,35.46,2
40.93,40.07,38.92,2
0,34.21,0,4
34.07,38.23,35.07,2
0,29.58,1.59,4
34.45,34.97,38.41,2
37.29,36.29,44.05,2
35.94,38.38,39.66,2
35.83,35.71,38.46,2
37.79,39.38,40.75,2
4.4,39.87,35.04,3
40.81,38.01,39.92,2
35.5,34.52,38.6,2
39.04,38.03,34.71,2
0.22,33.24,0.5,4
7.13,43.04,28.41,3
0.21,30.75,0.69,4
39.79,37.25,33.14,2
0,17.09,0.17,0
23.91,0,0.23,1
0,33.66,0.65,4
33.18,37.39,40.51,2
