% The variant allele frequencies of somatic single nucleotide variants
% from whole genome sequencing of a AML patient at two time points
%
% Miller, C. A., White, B. S., Dees, N. D., Griffith, M., Welch, J. S., Griffith, O. L.,
% Vij, R., Tomasson, M. H., Graubert, T. A., Walter, M. J., et al. (2014).
% SciClone: Inferring clonal architecture and tracking the spatial and temporal patterns
% of tumor evolution. PLoS Comput. Biol., 10(8).
% 
@relation aml28

@ATTRIBUTE tumor REAL
@ATTRIBUTE relapse REAL
@ATTRIBUTE class {1,2,3,4,5}

@data
41.1072,39.0274,1
18.0406,0.0692521,5
43.3376,0.302115,3
43.8692,11.7717,2
46.3636,37.6582,1
46.8132,41.9118,1
1.16883,30.143,4
1.56472,29.0087,4
44.5997,41.5721,1
45.2414,40.2458,1
44.3207,40.788,1
45.3168,44.3439,1
45.3202,36.0481,1
42.3438,46.2236,1
43.2319,0.252685,3
2.21893,28.3019,4
45.0533,41.6667,1
46.4615,40.4255,1
1.11465,44.8855,4
45.269,40.1294,1
41.2646,0,3
45.2514,41.3636,1
41.4716,41.8374,1
41.9725,38.3812,1
41.4835,12.4329,2
36.6279,35.2113,1
1.92061,31.3648,4
0.58651,20.7877,4
1.16473,29.7604,4
46.5909,43.0291,1
45.5471,39.8923,1
44.7082,12.8721,2
45.2055,44.4765,1
45.1053,41.3761,1
37.8049,8.9769,2
44.8669,40.3941,1
41.5797,36.6213,1
46.142,44.1761,1
47.7221,10.9177,2
1.25392,30.3665,4
40.6015,41.3043,1
45.5268,37.8179,1
46.4891,42.8094,1
46.1173,11.236,2
45.5574,44.7031,1
43.6195,11.6261,2
41.2987,11.1111,2
43.9483,37.9928,1
49.8008,49.1228,1
44.5567,41.7445,1
45.3175,42.7265,1
42.7529,43.1797,1
41.3866,38.5469,1
47.3529,42.1538,1
45.403,42.5926,1
48.1013,43.1884,1
49.497,44.0725,1
45.9218,45.4206,1
46.0699,39.0515,1
42.2249,12.6173,2
46.5849,40.9786,1
44.3069,39.8222,1
44.2021,42.2351,1
15.0794,0,5
44.6108,38.7526,1
47.139,38.2784,1
46.1322,41.3598,1
47.4149,41.4343,1
47.7208,45.283,1
42.2141,43.3356,1
39.8907,12.4138,2
43.5366,10.7106,2
47.1591,47.0968,1
44.2697,41.9802,1
41.0112,11.0694,2
44.3082,40.2913,1
43.3103,40.5501,1
47.9612,41.5534,1
42.4242,0,3
47.4462,41.6815,1
0.940734,30.0712,4
44.3726,11.8214,2
45.0382,37.8676,1
45.614,40.0213,1
42.9725,41.6579,1
40.4692,39.3229,1
0.713267,32.0182,4
44.7368,39.8559,1
48.4395,40.7197,1
40.498,39.9044,1
45.0588,39.3965,1
0.704225,29.2558,4
46.5426,40.9302,1
44.3366,41.8224,1
47.9132,44.0306,1
41.0651,41.1713,1
42.3927,38.4354,1
49.4526,37.588,1
42.2892,41.2698,1
18.7943,0.0524109,5
0.675676,32.2647,4
44.883,44.0937,1
45.4039,39.3939,1
46.0554,41.0971,1
42.2067,12.4451,2
43.9181,46.7991,1
34.8733,38.3333,1
44.5498,42.2998,1
47.4576,11.831,2
46.7033,43.0769,1
45.1878,42.7617,1
0.555556,32.1627,4
42.9412,42.2041,1
47.2542,39.6446,1
42.6043,44.8549,1
46.3079,39.0212,1
42.8181,39.951,1
40.9904,13.1105,2
45.0925,43.9863,1
0.966184,31.331,4
46.2585,40.0966,1
40.9038,9.21895,2
20.7921,0,5
0.736648,31.2814,4
44.4068,43.553,1
2.14168,30.7087,4
39.1741,0,3
44.7883,39.4019,1
50.3831,44.4062,1
44.7257,37.5772,1
40.7654,38.5852,1
45.9344,43.0199,1
32.2581,30.0971,1
44.5045,39.6947,1
43.34,41.5363,1
39.0897,39.6552,1
41.4129,11.6116,2
44.0171,42.7339,1
44.4062,41.0559,1
38.992,36.3333,1
47.0097,39.9504,1
0.612245,29.4737,4
42.097,38.8273,1
18.7339,0.0943396,5
45.6627,40.1985,1
1.44928,33.0401,4
44.4444,43.2014,1
44.6695,36.2143,1
50.5141,43.4137,1
43.0968,10.8553,2
45.9459,41.931,1
44.4118,43.4211,1
44.2561,0,3
40.0804,41.8977,1
47.0085,40.2471,1
0.874636,30.597,4
45.8465,11.1337,2
46.238,44.898,1
43.8336,38.4876,1
40.0319,10.6087,2
45.0721,43.5337,1
41.1475,11.9601,2
47.9675,44.6466,1
41.1248,40.5371,1
1.93548,34.2657,4
45.92,37.9085,1
46.0701,41.5015,1
43.587,41.1589,1
43.2692,38.7218,1
0.470035,23.0769,4
43.937,41.8154,1
48.103,40.7537,1
42.3226,41.276,1
44.2649,43.7838,1
43.6321,41.6979,1
20.2159,0,5
42.9932,40.5,1
45.1327,40.9574,1
46.0446,37.9147,1
44.6221,10.8065,2
1.0219,32.7922,4
47.432,39.6396,1
44.8405,36.8196,1
42.0312,43.1655,1
41.0882,35.2332,1
43.1015,41.4495,1
45.9276,42.1911,1
49.2886,41.4713,1
42.0168,0,3
45.2648,12.8361,2
2.28311,34.1693,4
45.0997,40.449,1
40.0798,9.18367,2
0.459418,31.3971,4
1.43198,27.321,4
50.9982,50.0876,1
34,29.2683,1
46.1538,38.6018,1
46.3171,41.3903,1
45.5598,0.123381,3
42.9569,45.0142,1
46.1433,41.0226,1
40.5363,0.574241,3
49.8592,51.634,1
40,36.6404,1
48.1314,39.6064,1
45.1115,39.3232,1
1.08696,26.506,4
42.3786,41.844,1
0.81716,26.7922,4
1.25714,32.0057,4
46.2162,46.4471,1
36.5741,36.2112,1
38.3817,38.5802,1
1.2987,35.2518,4
44.2748,44.7867,1
48.3288,42.8385,1
47.907,42.9124,1
1.19332,31.7881,4
45.8991,41.0903,1
45.616,44.3831,1
41.4838,11.9017,2
41.3408,0.201207,3
46.1832,44.4099,1
1.36612,31.25,4
43.6306,39.5658,1
1.33333,30.7463,4
44.3769,39.5455,1
43.9887,39.5616,1
47.2669,42.1136,1
42.7553,45.8824,1
43.2692,10.2041,2
43.2958,11.7722,2
1.33185,29.8566,4
45.8904,44.7059,1
43.3333,40.8511,1
43.5216,40.1747,1
47.4729,40.099,1
0.69808,33.9181,4
34.4358,37.2439,1
44.0104,45.4545,1
45.8807,44.856,1
45.6163,46.8334,1
44.7682,40.4189,1
44.6855,0.25641,3
41.7308,43.2738,1
0.757576,30.1435,4
46.5269,40.7407,1
42.9742,41.9225,1
24.8945,0,5
45.0243,41.0353,1
0.683995,25.6881,4
47.8664,41.6544,1
0.235294,29.0493,4
49.0909,44.3266,1
42.5989,37.3952,1
45.7602,39.1261,1
40.9364,0.636436,3
46.247,41.1262,1
39.1176,39.1071,1
44.5235,37.7005,1
48.2176,41.5502,1
47.3743,42.7131,1
44.0056,42.0543,1
44.7496,0.506757,3
44.5428,40.8854,1
45.1659,44.3086,1
1.00806,34.375,4
47.1831,43.0716,1
45.0139,44.6841,1
46.4052,38.5439,1
1.18846,28.3516,4
43.1122,0,3
45.8382,10.3881,2
47.7647,8.80282,2
1.20337,25.7166,4
41.0714,11.5004,2
47.87,42.508,1
46.5432,44.1815,1
47.3469,44.8075,1
1.36571,26.5359,4
48.7587,41.7183,1
42.3077,39.1892,1
47.6998,39.3996,1
46.6574,44.9612,1
1.64384,26.9752,4
46.6207,45.6213,1
39.0988,40.478,1
44.4015,45.0085,1
45.4155,44.3411,1
46.6882,44.7124,1
46.0733,40.7814,1
46.5608,41.7284,1
1.27119,29.3984,4
45.3981,40.3462,1
42.8322,43.5714,1
16.3105,0.0739645,5
42.0043,11.3435,2
1.50943,30.0895,4
0.864553,32.4709,4
46.5544,40.4332,1
44.3888,43.5532,1
46.6786,38.157,1
43.2881,39.2857,1
45.3638,37.3681,1
42.1329,10.119,2
42.0889,10.6129,2
51.0604,42.3317,1
48.6945,42.4858,1
45.2239,38.6861,1
1.5625,31.1111,4
46.8627,48.75,1
42.0697,41.2162,1
38.5991,40.0513,1
41.6532,36.1854,1
40.5172,39.0533,1
46.5063,12.6809,2
41.6988,1.64271,3
42.8835,41.6309,1
47.4204,9.80392,2
44.2225,43.9068,1
49.0298,42.5706,1
45.377,41.2835,1
0.495663,26.972,4
42.6174,10.2447,2
42.5197,41.1207,1
2.19479,33.1658,4
44.2559,41.0138,1
41.1633,11.805,2
43.1457,40.2062,1
42.654,0.291545,3
41.4273,0.068306,3
42.8571,10.3283,2
43.8907,45.9603,1
44.206,45.9276,1
43.2647,12.0907,2
46.301,40.7591,1
40.5357,41.0511,1
40.885,0,3
47.0231,42.1013,1
1.47493,29.0241,4
47.2401,44.8657,1
45.6,43.4211,1
44.2363,42.8196,1
48.6698,47.5714,1
42.3776,40.1376,1
42.9952,12.1785,2
44.7964,39.839,1
42.3816,38.5613,1
0.756757,28.4474,4
48.1553,41.1924,1
1.65289,20.6107,4
48.883,43.299,1
44.5946,38.8489,1
43.1858,11.98,2
0.947867,30.9339,4
48.7936,40.592,1
46.6981,39.8045,1
49.6907,41.129,1
43.7028,10.583,2
46.9731,39.7243,1
46.0452,42.5225,1
1.14613,30.6748,4
46.6267,42.8425,1
41.0405,36.7521,1
44.1748,42.0455,1
40.0958,41.2807,1
0.319489,25.6522,4
0.329489,26.5589,4
1.48699,31.1167,4
46.3696,43.0823,1
43.8378,41.7078,1
48.9607,40.5941,1
50.1597,46.0251,1
46.6334,42.5532,1
42.7767,37.6344,1
47.4157,46.4789,1
0.46225,27.6056,4
0.503778,30.9689,4
46.5593,39.9734,1
16.8459,0,5
43.2,11.9025,2
47.0785,41.1067,1
45.5142,42.7586,1
44.4104,40.2685,1
47.168,43.8827,1
16.1716,0.0922509,5
43.6893,42.6689,1
45.1832,41.056,1
47.5945,37.8585,1
46.9314,48.2843,1
44.2577,40.3292,1
51.1494,11.3248,2
42.616,43.508,1
45.2579,44.5693,1
41.1024,40.8163,1
43.8378,38.1443,1
46.0595,43.3071,1
41.9001,0,3
45.4965,12.0332,2
46.0432,40.415,1
47.3098,41.928,1
46.0744,40.796,1
45.036,38.2075,1
42.2559,39.9694,1
43.1797,0.0678887,3
42.9972,44.7822,1
42.1131,0.247831,3
42.5872,42.9799,1
0.997506,29.5288,4
36.1728,10.9235,2
45.6609,41.4423,1
43.4358,12.8174,2
43.7949,0.0904977,3
44.7307,38.3188,1
42.1954,39.3986,1
49.9029,41.2005,1
43.5981,0.271444,3
45.4945,33.8028,1
43.0122,43.7828,1
43.6242,39.2547,1
1.47059,27.6944,4
46.6102,41.8863,1
47.7113,42.9688,1
49.1576,43.5678,1
45.5511,42.1911,1
43.5982,39.3846,1
11.2805,0,5
40.483,42.5767,1
18.2598,0,5
0.765697,30.8458,4
0.830258,27.8195,4
48.2759,39.8779,1
44.6281,10.5437,2
46.1787,0.327332,3
43.8903,43.2292,1
44.8087,39.3137,1
43.9771,42.4242,1
0.910747,25.5856,4
0.0986193,15.2017,4
46.2986,40.211,1
0.303951,28.7179,4
46.0563,42.7374,1
46.1679,43.6006,1
43.3014,40.0407,1
45.3505,13.5071,2
45.8333,42.0871,1
44.9304,11.5016,2
41.4159,10.1215,2
41.7204,37.1385,1
46.2523,43.8762,1
48.2176,41.2399,1
0.15748,30.7692,4
44.5946,10.1449,2
45.1613,44.8151,1
39.2123,38.3249,1
41.8685,36.7596,1
42.8115,41.7407,1
40.8081,41.6901,1
46.1117,10.6416,2
45.0809,0.299103,3
43.2032,0,3
43.3225,38.4117,1
45.4352,45.3488,1
47.4242,45.9701,1
44.9225,41.9657,1
42.5249,35.3276,1
43.2203,11.8605,2
47.3624,40.5312,1
0.911854,30.5229,4
47.5289,42.0823,1
43.9411,0.481348,3
48.1589,43.7101,1
46.9388,36.788,1
42.1652,40.8333,1
43.1322,39.8917,1
49.0013,41.6044,1
47.551,40.7115,1
45.3674,42.0571,1
47.5771,48.4192,1
49.4565,39.8641,1
46.6392,45.2871,1
45.6683,40.2116,1
0.726392,26.6094,4
0.811688,24.9448,4
1.55807,27.0781,4
46.2527,41.2487,1
42.8753,40.2439,1
30.1493,10.5072,2
44.1352,38.2582,1
45.4327,42.2895,1
45.0536,0.194175,3
43.9521,10.6274,2
44.0647,40.6289,1
46.8683,40.3042,1
46.7497,41.6484,1
40.81,41.6107,1
42.8728,38.3642,1
42.7368,40.0749,1
43.342,43.1535,1
44.5652,11.7962,2
43.0206,12.4077,2
46.1462,46.6749,1
46.8912,41.3146,1
44.7504,41.3043,1
48.0344,46.1702,1
46.1224,37.1875,1
47.7684,41.4009,1
43.4365,36.8627,1
43.3333,11.8928,2
47.6726,41.6667,1
0.381679,26.1745,4
43.9776,41.3999,1
41.5896,40.5031,1
46.0233,39.9552,1
43.8938,38.9855,1
46.4286,45.402,1
43.4226,42.4242,1
45.6933,42.1453,1
1.06952,29.2286,4
44.1176,0,3
45.4087,39.3487,1
47.2488,39.0041,1
46.7901,40.7303,1
42.6877,45.3988,1
46.3215,42.4408,1
40.8,12.4,2
0.936037,25.5917,4
48.0315,42.1096,1
41.9558,33.892,1
45.5939,39.0858,1
43.4988,12.359,2
47.0588,42.0523,1
44.3067,43.0418,1
46.8182,39.6258,1
45.8182,41.7939,1
43.0488,44.3515,1
44.6575,40.2985,1
46.1268,43.0532,1
43.8735,39.8662,1
43.761,0.388007,3
44.3723,12.0459,2
42.7861,12.1542,2
42.698,11.2812,2
45.9394,11.4191,2
40,11.1385,2
43.4531,39.7795,1
44.7605,13.6442,2
49.3865,41.1036,1
1.04895,26.4505,4
1.23153,32.1063,4
46.5668,41.8141,1
44.8718,11.7647,2
50.3546,39.5018,1
21.1348,0,5
40.2456,9.20635,2
45.9627,45.3261,1
47.6923,12.4183,2
46.7085,41.2562,1
49.4577,44.0171,1
0.624025,25.6131,4
43.4992,40.1163,1
43.8703,44.1558,1
46.3442,41.2461,1
45.5577,39.6552,1
43.6881,43.6125,1
46.2158,40.3189,1
45.0677,37.6359,1
43.5173,40.487,1
0.888325,30.2003,4
47.0914,42.5988,1
41.1405,40.8108,1
42.766,41.2587,1
47.138,44.2308,1
42.9084,35.3153,1
44.3106,0.216685,3
44.5312,40.6695,1
41.0909,11.5658,2
47.9005,36.9594,1
46.5882,39.8268,1
0.749465,28.9832,4
44.704,43.9058,1
43.7046,11.2132,2
0.922266,30.0205,4
0.437318,28.0702,4
0.984683,30.1268,4
49.3266,40.7514,1
17.8771,0.0745156,5
41.6667,0.316857,3
45.6579,44.3402,1
48.1781,42.813,1
53.1949,44.9367,1
40.814,0.221239,3
40.9877,13.1519,2
42.2311,43.3076,1
48.1054,46.1538,1
42.5459,12.6494,2
45.5128,44.2276,1
45.6189,44.6429,1
43.5696,41.9291,1
39.9285,0.154083,3
1.1745,28.9888,4
0.475624,31.4993,4
42.7711,39.8876,1
49.142,44.8046,1
45.3237,12.9412,2
43.6798,41.5911,1
50.6211,45.9052,1
42.5899,36.3777,1
50.3165,44.5392,1
46.9737,37.2325,1
41.0104,36.2058,1
43.1591,0.363196,3
44.511,46.1538,1
1.40562,26.9598,4
0.928793,32.2176,4
45.993,42.1206,1
47.0812,43.0894,1
40.1923,10.4603,2
47.7352,40.3072,1
1.25,29.7335,4
20.2079,0,5
45.9834,40.6829,1
46.3557,41.1836,1
45.6238,45.5399,1
43.4022,40.9628,1
47.8114,41.2548,1
43.0039,41.3282,1
43.2489,38.0759,1
16.5017,0.0853971,5
46.6102,41.9355,1
44.6363,38.7635,1
41.1533,8.87574,2
43.9076,47.8261,1
45.3739,53.2338,1
0.60423,27.1845,4
44.507,41.6479,1
43.8438,36.4162,1
45.9603,41.3444,1
18.024,0,5
44.7658,41.6396,1
46.603,45.6858,1
38.0379,22.6357,2
44.239,38.6221,1
42.7954,37.0546,1
46.4481,12.2807,2
42.2566,36.8098,1
42.0719,45.2218,1
43.4682,43.1181,1
47.2222,37.0272,1
46.5909,41.6092,1
46.1625,42.1292,1
45.0479,39.6119,1
18.1609,0,5
43.0859,40.2282,1
0.892857,29.0441,4
47.5862,40.3323,1
43.2225,40.6691,1
1.21317,30.203,4
45.8268,39.5451,1
42.4305,12.9763,2
42.9185,39.2211,1
45.7181,42.8115,1
46.8835,36.8136,1
44.5017,40.9234,1
46.4726,40.9091,1
42.5676,39.7576,1
40.568,39.6694,1
46.4824,40.9135,1
49.2754,42.4096,1
41.1215,0.266667,3
45.4802,39.4188,1
44.4104,44.181,1
48.8753,43.3603,1
43.5159,41.6805,1
41.3402,12.0629,2
48.3478,42.7273,1
45.938,41.5233,1
43.1347,42.8323,1
43.4944,42.1488,1
44.7368,0.299103,3
43.1734,40.0651,1
1.49254,29.6501,4
43.0079,37.9437,1
0.462963,26.1838,4
45.8944,39.0444,1
46.7909,41.3428,1
43.1034,48.6957,1
45.7055,40.5966,1
43.2715,0.308325,3
46.4995,41.6379,1
42.4273,0.252525,3
42.1397,13.9224,2
46.4226,38.1679,1
45.3435,41.2773,1
42.3698,49.4279,1
44.4444,40.0673,1
44.4848,39.9596,1
43.4169,0.101937,3
45.2685,44.7059,1
44.3001,40.7843,1
47.2581,41.1168,1
43.7628,41.3043,1
44.898,40.7442,1
47.7903,40.451,1
43.7177,41.4894,1
38.1119,38.6364,1
40.7484,43.9716,1
46.0465,43.6348,1
43.7773,42.381,1
44.1958,10.8871,2
45.9966,46.3592,1
43.8416,12.7877,2
40.5063,0.143266,3
47.7054,41.7085,1
48.2309,44.373,1
